-69.9444120471653	-29.05519162748916
-69.9456323844297	-29.052131677333637
-69.9440659813739	-29.049873142695034
-69.94049603952578	-29.049472434936572
-69.93820107690914	-29.052277389245805
-69.93973105198691	-29.052641669026222
-69.93858357067859	-29.054280928038114
-69.9373814474032	-29.05442663995028
-69.9349589868634	-29.05291487886154
-69.93016870775088	-29.052477743125035
-69.92596127628704	-29.055045915576994
-69.92778267518914	-29.056302680819442
-69.93248188435655	-29.05847014551294
-69.93543255057796	-29.06178509151476
-69.94144316695488	-29.056739816555947
-69.9444120471653	-29.05519162748916
